"Title","Category","ActionType","Service","MaxScore","Tier","UserImpact","ImplementationCost","Threats"
"Ensure Administrative accounts are separate and cloud-only","Identity","Config","AzureAD","3","Core","Unknown","Unknown","Account breach"
"Ensure the admin consent workflow is enabled","Identity","Config","AzureAD","5","Core",,"Unknown","Data Exfiltration"
"Ensure custom banned passwords lists are used","Identity","Config","AzureAD","5","Core","Unknown","Unknown","Data Exfiltration; Password Cracking; Account breach"
"Ensure 'Microsoft Azure Management' is limited to administrative roles","Identity","Config","AzureAD","3","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Ensure 'LinkedIn account connections' is disabled","Identity","Config","AzureAD","3","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Ensure that only organizationally managed/approved public groups exist","Identity","Config","AzureAD","3","Core","Unknown","Unknown","Data Exfiltration"
"Ensure password protection is enabled for on-prem Active Directory","Identity","Config","AzureAD","6","Core","Unknown","Unknown","Data Exfiltration; Password Cracking; Account breach"
"Ensure 'Phishing-resistant MFA strength' is required for Administrators","Identity","Config","AzureAD","7","Core","Unknown","Unknown","Data Exfiltration; Password Cracking; Account breach"
"Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users","Identity","Config","AzureAD","5","Core",,"Unknown","Account breach; Data Exfiltration"
"Ensure third party integrated applications are not allowed","Identity","Config","AzureAD","5","Core",,"Unknown","Account breach; Data Exfiltration"
"Locate accounts in built-in Operator Groups","Identity","Config","Azure ATP","8","Core","high","High",""
"Accounts with non-default Primary Group ID","Identity","Config","Azure ATP","5","Core","Low","low",""
"Change password for accounts with leaked credentials","Identity","Config","AzureAD","5","Core","high","Low",""
"Change password for on-prem account with potentially leaked credentials","Identity","Config","Azure ATP","5","Core","high","Low",""
"Prevent Certificate Enrollment with arbitrary Application Policies (ESC15)","Identity","Config","Azure ATP","5","Core","High","low",""
"Prevent users to request a certificate valid for arbitrary users based on the certificate template (ESC1)","Identity","Config","Azure ATP","5","Core","high","medium",""
"Install Defender for Identity Sensor on ADCS servers ","Identity","Config","Azure ATP","4","Core","Low","High",""
"Edit insecure certificate enrollment IIS endpoints (ESC8)","Identity","Config","Azure ATP","5","Core","medium","low",""
"Edit misconfigured Certificate Authority ACL (ESC7)","Identity","Config","Azure ATP","5","Core","high","low",""
"Edit misconfigured certificate templates ACL (ESC4)","Identity","Config","Azure ATP","5","Core","high","low",""
"Edit overly permissive Certificate Template with privileged EKU (Any purpose EKU or No EKU) (ESC2)","Identity","Config","Azure ATP","5","Core","medium","medium",""
"Edit misconfigured enrollment agent certificate template (ESC3)","Identity","Config","Azure ATP","5","Core","high","medium",""
"Edit misconfigured certificate templates owner (ESC4)","Identity","Config","Azure ATP","5","Core","high","low",""
"Enforce encryption for RPC certificate enrollment interface (ESC11)","Identity","Config","Azure ATP","5","Core","medium","low",""
"Edit vulnerable Certificate Authority setting (ESC6)","Identity","Config","Azure ATP","5","Core","high","low",""
"Install Defender for Identity Sensor on ADFS servers ","Identity","Config","Azure ATP","4","Core","Low","High",""
"Remove access rights on suspicious accounts with the Admin SDHolder permission","Identity","Config","Azure ATP","5","Core","low","low",""
"Change password for Entra seamless SSO account","Identity","Config","Azure ATP","5","Core","high","low",""
"Change password of built-in domain Administrator account","Identity","Config","Azure ATP","5","Core","Low","low",""
"Built-in Active Directory Guest account is enabled","Identity","Config","Azure ATP","5","Core","Medium","low",""
"Change password for krbtgt account","Identity","Config","Azure ATP","5","Core","High","low",""
"Stop clear text credentials exposure","Identity","Config","Azure ATP","5","Core","low","low",""
"Remove stale CyberArk Identity privileged accounts","Identity","Config","Azure ATP","5","Core","Medium","medium",""
"High number of CyberArk Identity accounts with a privileged role assigned","Identity","Config","Azure ATP","5","Core","Medium","medium",""
"Limit the number of CyberArk Identity accounts with system admin role","Identity","Config","Azure ATP","5","Core","Medium","medium",""
"Change password for CyberArk Identity  privileged User accounts ","Identity","Config","Azure ATP","6","Core","Medium","medium",""
"Start your Defender for Identity deployment, installing Sensors on Domain Controllers and other eligible servers.","Identity","Config","Azure ATP","5","Core","low","high",""
"Unsafe permissions on the DnsAdmins group","Identity","Config","Azure ATP","8","Core","high","low",""
"Remove local admins on identity assets","Identity","Config","Azure ATP","5","Core","high","low",""
"Change Domain Controller computer account old password","Identity","Config","Azure ATP","5","Core","Medium","low",""
"Remove dormant accounts from sensitive groups","Identity","Config","Azure ATP","5","Core","low","low",""
"Rotate password for Entra Connect AD DS Connector account","Identity","Config","Azure ATP","3","Core","high","low",""
"Replace Enterprise or Domain Admin account for Entra Connect AD DS Connector account","Identity","Config","Azure ATP","3","Core","Low","low",""
"Remove unnecessary replication permissions for Entra Connect AD DS Connector Account","Identity","Config","Azure ATP","8","Core","high","low",""
"Install Defender for Identity Sensor on Entra Connect servers","Identity","Config","Azure ATP","4","Core","Low","High",""
"Remove unsafe permissions on sensitive Entra Connect accounts","Identity","Config","Azure ATP","9","Core","Low","low",""
"Remove discoverable passwords in Active Directory account attributes","Identity","Config","Azure ATP","8","Core","High","Low",""
"Set a valid password rotation interval for gMSA","Identity","Config","Azure ATP","6","Core","Medium","High",""
"GPO can be modified by unprivileged accounts","Identity","Config","Azure ATP","5","Core","high","low",""
"GPO assigns unprivileged identities to local groups with elevated privileges","Identity","Config","Azure ATP","7","Core","high","low",""
"Reversible passwords found in GPOs","Identity","Config","Azure ATP","8","Core","high","low",""
"Set a honeytoken account","Identity","Config","Azure ATP","1","Core","low","low","Account Breach; Elevation of Privilege; Malicious Insider"
"Remove stale service accounts","Identity","Config","Azure ATP","5","Core","Low","Low",""
"Modify unsecure Kerberos delegations to prevent impersonation","Identity","Config","Azure ATP","5","Core","low","low",""
"Remove non-admin accounts with DCSync permissions ","Identity","Config","Azure ATP","5","Core","high","low",""
"Remove dormant Okta privileged accounts","Identity","Config","Azure ATP","5","Core","High","low",""
"High number of Okta accounts with privileged role assigned","Identity","Config","Azure ATP","5","Core","High","low",""
"Limit the Number of Okta Super Admins Accounts","Identity","Config","Azure ATP","5","Core","High","low",""
"Change password for Okta privileged User accounts","Identity","Config","Azure ATP","6","Core","Medium","medium",""
"Assign multi-factor authentication for Okta privileged user accounts","Identity","Config","Azure ATP","5","Core","Low","low",""
"Highly Privileged Okta Api Token","Identity","Config","Azure ATP","5","Core","High","medium",""
"Reduce lateral movement path risk to sensitive entities","Identity","Config","Azure ATP","5","Core","low","low",""
"Remove stale PingOne privileged accounts","Identity","Config","Azure ATP","5","Core","High","low",""
"High number of PingOne accounts with a privileged role assigned","Identity","Config","Azure ATP","5","Core","High","low",""
"Limit the number of PingOne accounts with organization admin role","Identity","Config","Azure ATP","5","Core","High","low",""
"Change password for PingOne privileged User accounts","Identity","Config","Azure ATP","6","Core","Medium","medium",""
"Assign multi-factor authentication for PingOne privileged user accounts","Identity","Config","Azure ATP","5","Core","Low","low",""
"Disable Print spooler service on domain controllers","Identity","Config","Azure ATP","5","Core","low","low",""
"Ensure privileged accounts are not delegated","Identity","Config","Azure ATP","5","Core","High","low",""
" Identify Entra ID privileged accounts that are also privileged in Active Directory","Identity","Config","Azure ATP","9","Core","High","Medium",""
"Protect and manage local admin passwords with Microsoft LAPS","Identity","Config","Azure ATP","5","Core","low","low",""
"Remove stale SailPoint privileged accounts ","Identity","Config","Azure ATP","5","Core","Medium","Medium",""
"High number of SailPoint accounts with a privileged role assigned ","Identity","Config","Azure ATP","5","Core","Medium","Medium",""
"Limit the number of SailPoint accounts with system admin role ","Identity","Config","Azure ATP","5","Core","Medium","Medium",""
"Assign multi-factor authentication for SailPoint privileged user accounts ","Identity","Config","Azure ATP","5","Core","Medium","Low",""
"Change password for SailPoint privileged User accounts ","Identity","Config","Azure ATP","5","Core","Medium","Medium",""
"Install Defender for Identity Sensor on all Domain Controllers","Identity","Config","Azure ATP","4","Core","low","high","Account Breach; Elevation of Privilege; Malicious Insider"
" Identify service accounts in privileged groups","Identity","Config","Azure ATP","7","Core","Medium","Medium",""
"Remove unsecure SID history attributes from entities","Identity","Config","Azure ATP","5","Core","low","low",""
"Rotate old password for sMSA and set up valid rotation interval in the GPO","Identity","Config","Azure ATP","6","Core","Medium","Medium",""
"Remove stale Active Directory accounts","Identity","Config","Azure ATP","5","Core","medium","low",""
"Resolve unsecure account attributes","Identity","Config","Azure ATP","5","Core","low","low",""
"Resolve unsecure domain configurations","Identity","Config","Azure ATP","5","Core","low","high",""
"Configure VPN integration","Identity","Config","Azure ATP","1","Core","low","low","Account Breach; Elevation of Privilege; Malicious Insider"
"Stop weak cipher usage","Identity","Config","Azure ATP","5","Core","low","low",""
"Ensure 'User owned apps and services' is restricted","Identity","Config","Admincenter","3","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Ensure multifactor authentication is enabled for all users in administrative roles","Identity","Config","AzureAD","10","Core","Low","Low","Password Cracking; Account Breach; Elevation of Privilege"
"Regulate cloud app access to sensitive data","Apps","Config","AppG","7","Core","moderate","low",""
"Regulate apps with priority account consent","Apps","Config","AppG","7","Core","moderate","low",""
"Enable Conditional Access policies to block legacy authentication","Identity","Config","AzureAD","8","Advanced","Moderate","Moderate","Password Cracking; Account Breach"
"Ensure the customer lockbox feature is enabled","Apps","Config","EXO","1","Advanced","Moderate","Moderate","Data Exfiltration; Data Deletion; Data Spillage"
"Ensure DLP policies are enabled","Data","Config","MIP","5","Core","High","Medium",""
"Ensure 'External sharing' of calendars is not available","Apps","Config","EXO","5","Core","High","Medium",""
"Ensure mailbox auditing for all users is Enabled","Apps","Config","EXO","3","Core",,"Unknown","Data Exfiltration; Account breach"
"Ensure MailTips are enabled for end users","Apps","Config","EXO","3","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Ensure modern authentication for Exchange Online is enabled","Identity","Config","EXO","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Ensure users installing Outlook add-ins is not allowed","Apps","Config","EXO","3","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Ensure that SPF records are published for all Exchange Domains","Apps","Config","EXO","5","Core",,"Unknown","Account breach; Data Exfiltration"
"Ensure additional storage providers are restricted in Outlook on the web","Apps","Config","EXO","5","Core","Unknown","Unknown","Data Exfiltration; Account breach"
